dataset,condition,AUC,accuracy
uci,clean_baseline,0.775,0.819
telco,clean_baseline,0.831,0.801
uci,complete_case_MCAR_10,0.735,0.809
uci,complete_case_MCAR_20,0.470,0.779
uci,complete_case_MCAR_30,,
telco,complete_case_MCAR_10,0.817,0.787
telco,complete_case_MCAR_20,,
telco,complete_case_MCAR_30,,
uci,median_MCAR_10,0.769,0.818
uci,median_MCAR_20,0.771,0.816
uci,median_MCAR_30,0.766,0.812
telco,median_MCAR_10,0.830,0.795
telco,median_MCAR_20,0.832,0.795
telco,median_MCAR_30,0.830,0.798
uci,knn_MCAR_10,0.771,0.819
uci,knn_MCAR_20,0.773,0.819
uci,knn_MCAR_30,0.775,0.819
telco,knn_MCAR_10,0.832,0.797
telco,knn_MCAR_20,0.830,0.789
telco,knn_MCAR_30,0.830,0.794
uci,scarf_MCAR_10,0.750,0.804
uci,scarf_MCAR_20,0.754,0.803
uci,scarf_MCAR_30,0.748,0.798
telco,scarf_MCAR_10,0.823,0.789
telco,scarf_MCAR_20,0.824,0.787
telco,scarf_MCAR_30,0.817,0.780
uci,complete_case_featdep_30,0.767,0.816
uci,median_featdep_30,0.772,0.819
uci,knn_featdep_30,0.775,0.818
uci,scarf_featdep_30,0.757,0.805
telco,complete_case_featdep_30,0.831,0.797
telco,median_featdep_30,0.832,0.799
telco,knn_featdep_30,0.832,0.791
telco,scarf_featdep_30,0.822,0.790
uci,complete_case_featdep_10,0.772,0.819
uci,median_featdep_10,0.774,0.819
uci,knn_featdep_10,0.771,0.820
uci,scarf_featdep_10,0.755,0.803
uci,complete_case_featdep_20,0.770,0.818
uci,median_featdep_20,0.773,0.820
uci,knn_featdep_20,0.776,0.820
uci,scarf_featdep_20,0.754,0.804
telco,complete_case_featdep_10,0.830,0.785
telco,median_featdep_10,0.831,0.800
telco,knn_featdep_10,0.828,0.797
telco,scarf_featdep_10,0.823,0.787
telco,complete_case_featdep_20,0.830,0.800
telco,median_featdep_20,0.830,0.796
telco,knn_featdep_20,0.832,0.795
telco,scarf_featdep_20,0.825,0.788
uci,scarf_label_5,0.704,0.805
uci,median_label_5,0.725,0.809
uci,knn_label_5,0.733,0.804
uci,scarf_label_10,0.713,0.805
uci,median_label_10,0.730,0.806
uci,knn_label_10,0.716,0.805
uci,scarf_label_20,0.719,0.806
uci,median_label_20,0.751,0.808
uci,knn_label_20,0.754,0.815
telco,scarf_label_5,0.806,0.756
telco,median_label_5,0.814,0.776
telco,knn_label_5,0.817,0.780
telco,scarf_label_10,0.816,0.778
telco,median_label_10,0.822,0.786
telco,knn_label_10,0.816,0.785
telco,scarf_label_20,0.817,0.789
telco,median_label_20,0.828,0.793
telco,knn_label_20,0.826,0.788
adult,clean_baseline,0.910,0.858
adult,complete_case_featdep_10,0.910,0.855
adult,median_featdep_10,0.910,0.855
adult,knn_featdep_10,0.910,0.855
adult,scarf_featdep_10,0.879,0.832
adult,complete_case_featdep_20,0.910,0.857
adult,median_featdep_20,0.910,0.856
adult,knn_featdep_20,0.909,0.856
adult,scarf_featdep_20,0.884,0.835
adult,complete_case_featdep_30,0.909,0.857
adult,median_featdep_30,0.909,0.856
adult,knn_featdep_30,0.910,0.855
adult,scarf_featdep_30,0.884,0.838
adult,scarf_label_5,0.860,0.816
adult,median_label_5,0.880,0.833
adult,knn_label_5,0.877,0.840
adult,scarf_label_10,0.865,0.817
adult,median_label_10,0.884,0.841
adult,knn_label_10,0.883,0.839
adult,scarf_label_20,0.864,0.820
adult,median_label_20,0.894,0.845
adult,knn_label_20,0.893,0.847
uci,scarf_label_0.5,0.630,0.772
uci,median_label_0.5,0.577,0.779
uci,knn_label_0.5,0.612,0.784
uci,scarf_label_1,0.634,0.789
uci,median_label_1,0.646,0.787
uci,knn_label_1,0.652,0.794
telco,scarf_label_0.5,0.802,0.768
telco,median_label_0.5,0.457,0.559
telco,knn_label_0.5,0.444,0.316
telco,scarf_label_1,0.811,0.763
telco,median_label_1,0.810,0.793
telco,knn_label_1,0.810,0.778
adult,scarf_label_0.5,0.838,0.791
adult,median_label_0.5,0.820,0.797
adult,knn_label_0.5,0.821,0.804
adult,scarf_label_1,0.833,0.789
adult,median_label_1,0.858,0.807
adult,knn_label_1,0.844,0.817
